text,Autism_Diagnosis
Certain sounds really irritate me. i sometimes miss social cues. conversations can be confusing. it depends on my mood.,1
Different textures don't bother me. i'm working on this.,1
I organize my things carefully. changes to my schedule upset me. i sometimes don't get jokes right away. my colleague says this is normal.,0
Loud noises bother me. conversations can be confusing. i sometimes don't get jokes right away. i'm working on this.,0
Loud noises bother me. changes to my schedule upset me. i really enjoy talking about my interests. i'm working on this.,1
Different textures don't bother me. i enjoy socializing with people. i've noticed this for a while.,0
Changes to my schedule upset me.,1
I organize my things carefully. i organize my things carefully. some clothing textures feel uncomfortable. really bill evening moment country.,1
I sometimes don't get jokes right away. group settings make me anxious. i'm working on this.,1
Makin' friends feels challengin' sumtimes. i prefer stickin' to my routines. i've noticed this for a while.,1
Some clothing textures feel uncomfortable. i often struggle with eye contact. strong smells sometimes make me nauseous. it depends on my mood.,1
I enjoy socializing with people. i like trying new restaurants. it depends on my mood.,1
I sumtimes miss social cues. bright lights can be painful. people say i'm very literal. i'm workin' on this.,1
I adapt well to new situations. i'm working on this.,0
Meeting new people excites me. meeting new people excites me. chance fund mean its.,0
I really enjoy talkin' about my interests. it depends on my mood.,1
Different textures don't bother me. concerts and parties are fun. i've noticed this for a while.,0
I enjoy socializing with people. different textures don't bother me. likely beat bed drop maintain painting.,0
Eye contact feels natural. i enjoy socializin' with people. it depends on my mood.,0
I often struggle with eye contact. changes to my schedule upset me. it depends on my mood.,1
I prefer quiet time alone. i prefer quiet time alone. my family member says this is normal.,1
Making friends feels challenging sometimes. some clothing textures feel uncomfortable. group settings make me anxious. add simply growth just create bank traditional.,1
Group settings make me anxious. i really enjoy talkin' about my interests. i really enjoy talkin' about my interests.,1
I like trying new restaurants. concerts and parties are fun. hear production beautiful series most.,0
I enjoy socializing with people. meeting new people excites me. it depends on my mood.,0
I like trying new restaurants. concerts and parties are fun. my friend says this is normal.,0
I usually understand sarcasm. i usually understand sarcasm. i've noticed this for a while.,0
Bright lights can be painful. i prefer sticking to my routines. i sometimes don't get jokes right away.,1
I prefer sticking to my routines. i sometimes don't get jokes right away. i'm working on this.,0
Concerts and parties are fun. i'm flexible with my schedule. expert note music movement.,0
I'm flexible with my schedule. i enjoy socializing with people. there wide north meet scene.,1
I usually understand sarcasm. i'm flexible with my schedule. it depends on my mood.,0
People say i'm very literal. i don't always read facial expressions well. i prefer quiet time alone. it depends on my mood.,1
I'm okay with last-minute changes.,0
Changes to my schedule upset me. i've noticed this for a while.,0
Certain sounds really irritate me. some clothing textures feel uncomfortable. i sometimes miss social cues. my colleague says this is normal.,1
Conversations can be confusing. strong smells sometimes make me nauseous. too who performance thus point.,1
Different textures don't bother me. i'm okay with last-minute changes. it depends on my mood.,0
I'm flexible with my schedule. meeting new people excites me. i'm working on this.,0
I like trying new restaurants. it depends on my mood.,0
I prefer quiet time alone. i really enjoy talking about my interests. some clothing textures feel uncomfortable. my colleague says this is normal.,1
I often struggle with eye contact. i sometimes miss social cues. i often struggle with eye contact. i'm working on this.,1
Different textures don't bother me. concerts and parties are fun. author someone work seven.,1
Group settings make me anxious. my colleague says this is normal.,0
Meeting new people excites me. i usually understand sarcasm. i'm working on this.,1
I really enjoy talking about my interests. i prefer quiet time alone. it depends on my mood.,1
I usually understand sarcasm. it depends on my mood.,0
Conversations can be confusing. i'm working on this.,0
I sometimes miss social cues. i often struggle with eye contact. certain sounds really irritate me. i'm working on this.,1
I adapt well to new situations. my colleague says this is normal.,0
I'm okay with last-minute changes. i enjoy socializing with people.,0
I'm flexible with my schedule.,0
I sometimes don't get jokes right away. making friends feels challenging sometimes. natural wrong difficult door even.,0
I don't always read facial expressions well. certain sounds really irritate me. bright lights can be painful. i'm working on this.,0
I eat similar foods regularly. people say i'm very literal.,1
Concerts and parties are fun. meeting new people excites me. my family member says this is normal.,0
I prefer sticking to my routines. i sometimes don't get jokes right away. i often struggle with eye contact. i'm working on this.,1
I sometimes don't get jokes right away. i sometimes don't get jokes right away.,1
I usually understand sarcasm. my colleague says this is normal.,1
People say i'm very literal. it depends on my mood.,1
Concerts and parties are fun. eye contact feels natural. my family member says this is normal.,0
Different textures don't bother me. it depends on my mood.,1
Eye contact feels natural.,0
Bright lights can be painful. my colleague says this is normal.,1
Different textures don't bother me.,0
Loud noises bother me. people say i'm very literal. my family member says this is normal.,1
Bright lights can be painful.,1
I adapt well to new situations. i'm okay with last-minute changes.,1
I eat similar foods regularly. loud noises bother me. worry great sit act near audience fill.,1
Strong smells sometimes make me nauseous. loud noises bother me. changes to my schedule upset me. i'm working on this.,1
I usually understand sarcasm. my friend says this is normal.,0
I really enjoy talking about my interests. letter to husband edge feeling pattern.,1
I prefer sticking to my routines. i prefer sticking to my routines. some clothing textures feel uncomfortable. my friend says this is normal.,0
Eye contact feels natural... i've noticed this for a while...,0
Concerts and parties are fun. i like trying new restaurants. i'm working on this.,0
I like trying new restaurants. i've noticed this for a while.,0
I don't always read facial expressions well. my family member says this is normal.,1
I'm okay with last-minute changes. my colleague says this is normal.,0
Conversations can be confusing. i organize my things carefully. group settings make me anxious.,1
I prefer quiet time alone. changes to my schedule upset me. my family member says this is normal.,1
I'm flexible with my schedule. it depends on my mood.,0
I'm okay with last-minute changes. meeting new people excites me. it depends on my mood.,0
Concerts and parties are fun. i like tryin' new restaurants. prevent scene together election rest keep.,1
Eye contact feels natural. my friend says this is normal.,0
Making friends feels challenging sometimes. group settings make me anxious. bright lights can be painful.,1
I prefer sticking to my routines.,0
I'm okay with last-minute changes. my family member says this is normal.,1
I don't always read facial expressions well. i sometimes miss social cues. i eat similar foods regularly.,1
I like trying new restaurants. i'm flexible with my schedule. it depends on my mood.,1
Changes to my schedule upset me. my friend says this is normal.,1
Making friends feels challenging sometimes. it depends on my mood.,0
Loud noises bother me. i prefer quiet time alone. it depends on my mood.,1
I prefer quiet time alone. changes to my schedule upset me. i organize my things carefully. i've noticed this for a while.,1
Different textures don't bother me. concerts and parties are fun. it depends on my mood.,0
I enjoy socializin' with people.,1
Meeting new people excites me. i'm working on this.,0
I adapt well to new situations. my colleague says this is normal.,0
I often struggle with eye contact. i like knowing what to expect. changes to my schedule upset me. i'm working on this.,1
I often struggle with eye contact. i eat similar foods regularly. i've noticed this for a while.,1
I often struggle with eye contact. open mrs out campaign rather since create.,0
I often struggle with eye contact. i'm working on this.,1
I like tryin' new restaurants. my colleague says this is normal.,0
Concerts and parties are fun. concerts and parties are fun.,0
Meeting new people excites me. it depends on my mood.,1
I prefer sticking to my routines... some clothing textures feel uncomfortable... my friend says this is normal...,1
Some clothing textures feel uncomfortable.,1
Eye contact feels natural. i've noticed this for a while.,0
I prefer sticking to my routines. loud noises bother me. i like knowing what to expect. i've noticed this for a while.,1
I eat similar foods regularly. conversations can be confusing. group settings make me anxious. my friend says this is normal.,1
I often struggle with eye contact. i'm working on this.,1
I adapt well to new situations.,0
I prefer quiet time alone. some clothing textures feel uncomfortable. it depends on my mood.,1
I'm okay with last-minute changes. i like trying new restaurants. i've noticed this for a while.,1
I sometimes miss social cues... strong smells sometimes make me nauseous... free allow explain cultural line body civil...,1
I enjoy socializing with people. i'm working on this.,0
Eye contact feels natural.,1
I organize my things carefully. i like knowing what to expect. it depends on my mood.,1
I usually understand sarcasm. different textures don't bother me. my friend says this is normal.,0
I adapt well to new situations.,0
I prefer quiet time alone. hear painting table red while develop group.,1
Bright lights can be painful. i sometimes miss social cues.,1
I organize my things carefully. conversations can be confusing. it depends on my mood.,0
I adapt well to new situations. my colleague says this is normal.,0
I organize my things carefully. conversations can be confusing. i eat similar foods regularly. i'm working on this.,1
Meetin' new people excites me. heart figure win board course.,1
I enjoy socializing with people... i've noticed this for a while...,0
I usually understand sarcasm. my friend says this is normal.,0
I don't always read facial expressions well. bright lights can be painful. i organize my things carefully. i'm working on this.,1
Different textures don't bother me. i'm working on this.,0
Concerts and parties are fun. meeting new people excites me. win child increase develop decision.,0
I usually understand sarcasm. i'm okay with last-minute changes.,0
I sumtimes miss social cues. changes to my schedule upset me. my friend says this is normal.,1
People say i'm very literal. i sometimes miss social cues. my friend says this is normal.,1
I like trying new restaurants. i usually understand sarcasm. i've noticed this for a while.,0
Eye contact feels natural. i'm working on this.,0
Eye contact feels natural.,0
I usually understand sarcasm. my family member says this is normal.,1
Group settings make me anxious. i really enjoy talking about my interests. group settings make me anxious. i'm working on this.,1
I sometimes miss social cues. strong smells sometimes make me nauseous. i eat similar foods regularly. my colleague says this is normal.,1
Strong smells sometimes make me nauseous. i don't always read facial expressions well. i'm working on this.,1
I like knowing what to expect. loud noises bother me. indicate agree explain rise you tell college.,1
Meeting new people excites me. it depends on my mood.,0
Certain sounds really irritate me. my colleague says this is normal.,1
I like trying new restaurants. i like trying new restaurants.,0
I eat similar foods regularly. i organize my things carefully. i sometimes miss social cues. my family member says this is normal.,1
I adapt well to new situations... concerts and parties are fun... my colleague says this is normal...,0
I really enjoy talking about my interests. i've noticed this for a while.,1
I like knowing what to expect. strong smells sometimes make me nauseous. i organize my things carefully. i'm working on this.,1
I really enjoy talking about my interests. loud noises bother me. i'm working on this.,1
Making friends feels challenging sometimes. i really enjoy talking about my interests. thing i water coach itself.,1
I often struggle with eye contact. i prefer sticking to my routines. i sometimes don't get jokes right away. it depends on my mood.,1
Certain sounds really irritate me. i'm working on this.,0
Making friends feels challenging sometimes. certain sounds really irritate me.,1
I prefer sticking to my routines. i eat similar foods regularly. people say i'm very literal. i've noticed this for a while.,1
I really enjoy talking about my interests. i really enjoy talking about my interests. my colleague says this is normal.,1
Different textures don't bother me. i like trying new restaurants. painting how thank some time.,0
I'm flexible with my schedule. i'm okay with last-minute changes. i'm working on this.,0
Eye contact feels natural. it depends on my mood.,1
Changes to my schedule upset me. some clothin' textures feel uncomfortable. i prefer quiet time alone. student although rest.,0
I'm okay with last-minute changes. i've noticed this for a while.,0
Meeting new people excites me. different textures don't bother me. include east cold past but first black.,1
I really enjoy talking about my interests... i've noticed this for a while...,0
Some clothin' textures feel uncomfortable. i eat similar foods regularly. my colleague says this is normal.,0
I'm okay with last-minute changes. eye contact feels natural. my friend says this is normal.,0
Different textures don't bother me. i'm okay with last-minute changes. i'm working on this.,0
People say i'm very literal... people say i'm very literal... my friend says this is normal...,1
I like tryin' new restaurants. concerts and parties are fun. my colleague says this is normal.,0
I'm okay with last-minute changes. different textures don't bother me. it depends on my mood.,0
I enjoy socializing with people. current mother direction.,0
I enjoy socializing with people... i enjoy socializing with people... upon ball prevent new deal air also my...,0
Meetin' new people excites me... i'm flexible with my schedule... i've noticed this for a while...,1
Certain sounds really irritate me. i've noticed this for a while.,0
Certain sounds really irritate me. making friends feels challenging sometimes.,1
I usually understand sarcasm.,1
Strong smells sometimes make me nauseous. people say i'm very literal. making friends feels challenging sometimes.,0
Some clothing textures feel uncomfortable. i'm working on this.,1
Different textures don't bother me. my colleague says this is normal.,0
Bright lights can be painful.,1
People say i'm very literal. until economic career whom southern spend upon play.,0
Concerts and parties are fun.,0
I prefer sticking to my routines. half artist break maybe.,1
I'm flexible with my schedule. i'm flexible with my schedule.,0
I organize my thingz carefully. loud noises bother me. i'm workin' on this.,1
Meeting new people excites me. concerts and parties are fun. student truth benefit feeling energy.,1
Concerts and parties are fun. i've noticed this for a while.,1
Eye contact feels natural.,0
I sometimes miss social cues. loud noises bother me. i'm working on this.,1
I enjoy socializing with people. concerts and parties are fun. i'm working on this.,0
I prefer quiet time alone. i really enjoy talking about my interests. democrat true quickly everybody wonder.,1
I'm okay with last-minute changes. meeting new people excites me. over argue actually.,0
I like knowing what to expect.,1
I enjoy socializing with people. i adapt well to new situations. it depends on my mood.,1
Eye contact feels natural... meeting new people excites me... i'm working on this...,1
I prefer sticking to my routines. i organize my things carefully. i organize my things carefully. it depends on my mood.,1
Bright lights can be painful. strong smells sometimes make me nauseous. i eat similar foods regularly. i'm working on this.,0
People say i'm very literal. i'm workin' on this.,1
Loud noises bother me. parent small citizen.,1
Loud noises bother me. making friends feels challenging sometimes. i often struggle with eye contact. i've noticed this for a while.,1
Certain sounds really irritate me. i've noticed this for a while.,1
I usually understand sarcasm. i'm okay with last-minute changes. boy standard us land few positive.,0
Changes to my schedule upset me. human speech car involve.,0
I'm flexible with my schedule. concerts and parties are fun.,1
I sometimes miss social cues. making friends feels challenging sometimes.,0
Loud noises bother me. i'm working on this.,1
Different textures don't bother me. i usually understand sarcasm. fear almost maybe employee.,0
Certain sounds really irritate me. making friends feels challenging sometimes. some clothing textures feel uncomfortable.,1
I'm flexible with my schedule. my colleague says this is normal.,0
Different textures don't bother me. i'm flexible with my schedule. i'm working on this.,0
Changes to my schedule upset me. i eat similar foods regularly. i don't always read facial expressions well. nearly approach enough economy only.,1
I like trying new restaurants. i've noticed this for a while.,0
I prefer sticking to my routines. some clothing textures feel uncomfortable. i'm working on this.,1
Eye contact feels natural. i enjoy socializing with people. my family member says this is normal.,0
I'm flexible with my schedule. different textures don't bother me. account daughter or.,0
I prefer stickin' to my routines. bright lights can be painful. makin' friends feels challengin' sumtimes. i've noticed this for a while.,0
I'm flexible with my schedule. bad good kid ago.,0
I'm okay with last-minute changes.,0
I prefer sticking to my routines. i prefer quiet time alone. i prefer sticking to my routines. i've noticed this for a while.,0
Loud noises bother me.,1
Strong smells sumtimes make me nauseous. i really enjoy talkin' about my interests. bright lights can be painful.,1
I organize my things carefully. i prefer sticking to my routines. i'm working on this.,0
I prefer sticking to my routines. my colleague says this is normal.,1
Meeting new people excites me. the sense law.,1
I enjoy socializing with people. i'm working on this.,0
Different textures don't bother me. concerts and parties are fun. i've noticed this for a while.,0
I sometimes miss social cues. people say i'm very literal. my family member says this is normal.,0
Eye contact feels natural... i'm working on this...,0
Meeting new people excites me. my family member says this is normal.,0
I usually understand sarcasm. my colleague says this is normal.,0
Strong smells sumtimes make me nauseous. i really enjoy talkin' about my interests. makin' friends feels challengin' sumtimes. i'm workin' on this.,1
I eat similar foods regularly. i really enjoy talking about my interests. i've noticed this for a while.,1
I sometimes miss social cues.,1
I adapt well to new situations. eye contact feels natural. it depends on my mood.,0
I really enjoy talking about my interests. it depends on my mood.,0
I enjoy socializing with people. agent down financial.,0
I sometimes miss social cues. i don't always read facial expressions well. my family member says this is normal.,0
Loud noises bother me.,1
Certain sounds really irritate me...,0
Concerts and parties are fun. concerts and parties are fun. i'm working on this.,0
I don't always read facial expressions well. i'm working on this.,1
Changes to my schedule upset me. some clothing textures feel uncomfortable. it depends on my mood.,1
I like trying new restaurants. it depends on my mood.,0
Concerts and parties are fun.,1
I'm okay with last-minute changes. i've noticed this for a while.,0
Bright lights can be painful. bright lights can be painful. i prefer sticking to my routines.,1
Concerts and parties are fun. it depends on my mood.,0
Group settings make me anxious. my colleague says this is normal.,1
Strong smells sometimes make me nauseous. it depends on my mood.,1
Certain sounds really irritate me.,1
I'm okay with last-minute changes. i adapt well to new situations.,0
Concerts and parties are fun. i adapt well to new situations. money boy fast hospital somebody check.,0
Eye contact feels natural. i've noticed this for a while.,0
I like trying new restaurants. i'm flexible with my schedule. my colleague says this is normal.,0
I prefer sticking to my routines. it depends on my mood.,1
I enjoy socializing with people... different textures don't bother me... something floor happen occur research...,0
Strong smells sometimes make me nauseous.,1
I enjoy socializing with people. it depends on my mood.,0
Strong smells sometimes make me nauseous... i'm working on this...,1
I enjoy socializin' with people. goal happen later seem what in into.,0
Different textures don't bother me. i've noticed this for a while.,0
I usually understand sarcasm. i'm okay with last-minute changes. i've noticed this for a while.,1
I often struggle with eye contact. certain sounds really irritate me. i really enjoy talking about my interests. it depends on my mood.,0
Changes to my schedule upset me. i like knowing what to expect. it depends on my mood.,1
I usually understand sarcasm.,0
I sometimes don't get jokes right away. i'm working on this.,1
I'm okay with last-minute changes. my family member says this is normal.,0
I sometimes don't get jokes right away. i prefer quiet time alone. i often struggle with eye contact. i've noticed this for a while.,1
I adapt well to new situations. concerts and parties are fun. it depends on my mood.,0
I sometimes miss social cues. i often struggle with eye contact. i sometimes don't get jokes right away. i've noticed this for a while.,0
I like trying new restaurants.,0
I like knowing what to expect. changes to my schedule upset me. i've noticed this for a while.,1
I really enjoy talking about my interests. making friends feels challenging sometimes. i organize my things carefully. my colleague says this is normal.,0
I enjoy socializing with people. i'm okay with last-minute changes.,0
I like trying new restaurants. concerts and parties are fun.,1
I'm flexible with my schedule. meeting new people excites me. money car structure direction who key research information.,0
I enjoy socializing with people. i adapt well to new situations. it depends on my mood.,0
Concerts and parties are fun... officer admit marriage time coach government attack...,1
I like knowing what to expect. i prefer sticking to my routines. strong smells sometimes make me nauseous. it depends on my mood.,1
Changes to my schedule upset me. i like knowing what to expect. i'm working on this.,1
I like trying new restaurants. i've noticed this for a while.,0
I usually understand sarcasm.,0
I prefer quiet time alone. people say i'm very literal. my family member says this is normal.,0
Making friends feels challenging sometimes. i'm working on this.,1
Concerts and parties are fun. i've noticed this for a while.,0
I like trying new restaurants. i enjoy socializing with people. i've noticed this for a while.,0
I don't always read facial expressions well. i prefer quiet time alone. certain sounds really irritate me. my friend says this is normal.,1
Changes to my schedule upset me. bright lights can be painful. certain sounds really irritate me. it depends on my mood.,1
Different textures don't bother me. i've noticed this for a while.,1
I sometimes don't get jokes right away... changes to my schedule upset me... strong smells sometimes make me nauseous... i'm working on this...,1
Loud noises bother me. i often struggle with eye contact. changes to my schedule upset me.,0
Concerts and parties are fun. night night him language everyone become enjoy.,0
I like trying new restaurants. i'm flexible with my schedule. budget throw quickly.,0
I adapt well to new situations. i've noticed this for a while.,1
Bright lights can be painful... some clothing textures feel uncomfortable... i really enjoy talking about my interests... i've noticed this for a while...,1
Making friends feels challenging sometimes... clearly film fight group seat indeed similar leg...,0
I sometimes don't get jokes right away. my friend says this is normal.,1
I adapt well to new situations. i'm working on this.,0
I prefer stickin' to my routines. i like knowin' what to expect. it depends on my mood.,1
Some clothing textures feel uncomfortable. bright lights can be painful. loud noises bother me. it depends on my mood.,1
Meeting new people excites me. i'm working on this.,0
Strong smells sometimes make me nauseous. i prefer sticking to my routines. it depends on my mood.,1
I eat similar foods regularly. i prefer quiet time alone. conversations can be confusing. it depends on my mood.,1
I eat similar foods regularly.,1
I'm okay with last-minute changes. i enjoy socializing with people. i've noticed this for a while.,0
I don't always read facial expressions well. i've noticed this for a while.,1
I prefer sticking to my routines. i really enjoy talking about my interests. i really enjoy talking about my interests. i've noticed this for a while.,0
I enjoy socializing with people. i adapt well to new situations. that special able.,1
Different textures don't bother me. meeting new people excites me.,0
I prefer quiet time alone. my family member says this is normal.,1
Eye contact feels natural. i've noticed this for a while.,0
I'm flexible with my schedule. i like trying new restaurants. i'm working on this.,0
I like trying new restaurants. i'm working on this.,0
I enjoy socializing with people. meeting new people excites me. it depends on my mood.,1
I really enjoy talking about my interests.,1
I adapt well to new situations... it depends on my mood...,0
Some clothing textures feel uncomfortable. law part final purpose discover.,1
I enjoy socializing with people. south book sell research relationship list.,0
I organize my things carefully. i prefer sticking to my routines. i've noticed this for a while.,1
I'm flexible with my schedule. meeting new people excites me. i've noticed this for a while.,0
Meeting new people excites me. it depends on my mood.,0
I usually understand sarcasm. different textures don't bother me. i'm working on this.,0
I'm okay with last-minute changes. i'm okay with last-minute changes. i've noticed this for a while.,0
I adapt well to new situations. eye contact feels natural. i've noticed this for a while.,0
Group settings make me anxious. i sometimes miss social cues. i don't always read facial expressions well. i've noticed this for a while.,1
I like trying new restaurants. different textures don't bother me. my family member says this is normal.,0
Concerts and parties are fun. concerts and parties are fun. i'm working on this.,0
I like trying new restaurants. i'm working on this.,1
I like knowing what to expect. strong smells sometimes make me nauseous. i've noticed this for a while.,1
I'm okay with last-minute changes. it depends on my mood.,0
Different textures don't bother me. i've noticed this for a while.,0
I don't always read facial expressions well. i've noticed this for a while.,1
I usually understand sarcasm. meeting new people excites me. my family member says this is normal.,0
I'm okay with last-minute changes. i'm working on this.,0
I don't always read facial expressions well. i often struggle with eye contact. i'm working on this.,1
I don't always read facial expressions well. certain sounds really irritate me. conversations can be confusing. i've noticed this for a while.,1
Different textures don't bother me. eye contact feels natural. i'm working on this.,0
I sometimes miss social cues. i like knowing what to expect. changes to my schedule upset me. my family member says this is normal.,1
I often struggle with eye contact. changes to my schedule upset me. it depends on my mood.,1
I'm flexible with my schedule. meeting new people excites me.,0
I usually understand sarcasm. meeting new people excites me. it depends on my mood.,0
I adapt well to new situations. i adapt well to new situations. my family member says this is normal.,1
Strong smells sometimes make me nauseous... in study free media miss sign both ability...,1
I really enjoy talking about my interests. i've noticed this for a while.,1
I'm okay with last-minute changes. i've noticed this for a while.,0
I adapt well to new situations. concerts and parties are fun. nor bill inside girl across begin season wonder.,0
Conversations can be confusing. group settings make me anxious. i've noticed this for a while.,1
Making friends feels challenging sometimes. i often struggle with eye contact. i often struggle with eye contact.,1
People say i'm very literal. group settings make me anxious. i really enjoy talking about my interests. it depends on my mood.,1
I often struggle with eye contact. i eat similar foods regularly. my colleague says this is normal.,1
I prefer stickin' to my routines. i like knowin' what to expect. it depends on my mood.,1
I don't always read facial expressions well... making friends feels challenging sometimes...,0
I really enjoy talking about my interests. it depends on my mood.,1
I like knowing what to expect. conversations can be confusing. some clothing textures feel uncomfortable. i've noticed this for a while.,1
I enjoy socializing with people. i've noticed this for a while.,0
Eye contact feels natural. i'm working on this.,0
I adapt well to new situations.,0
Certain sounds really irritate me. loud noises bother me. hand enter executive most region threat.,1
I enjoy socializing with people. my family member says this is normal.,1
I really enjoy talking about my interests. i organize my things carefully. picture local large movement policy sport budget.,1
I prefer stickin' to my routines. my family member says this is normal.,0
Strong smells sumtimes make me nauseous. group settings make me anxious. makin' friends feels challengin' sumtimes. i'm workin' on this.,1
I'm flexible with my schedule. everybody decide realize.,0
I really enjoy talking about my interests. strong smells sometimes make me nauseous. people say i'm very literal. it depends on my mood.,0
Concerts and parties are fun. it depends on my mood.,0
I prefer sticking to my routines.,0
Concerts and parties are fun. i'm okay with last-minute changes.,0
Meeting new people excites me.,0
I'm okay with last-minute changes. i'm okay with last-minute changes. my friend says this is normal.,0
I sometimes miss social cues. group settings make me anxious. i'm working on this.,1
